# HRMSv2/CAN LOGGER made by brzanad
# TIMESTAMP - human readable format
# ID - HEX format
# DATA - HEX format
# HH:MM:SS,KKK;ID;DATADATADATADATA
02:15:03,248;40;DC05000000000000
02:15:03,248;40;8403700300000000
02:15:03,248;40;8403740300000000
02:15:03,248;40;8403720300000000
02:15:03,248;40;84036F0300000000
02:15:03,248;40;8403850300000000
02:15:03,248;40;8403C30300000000
02:15:03,248;40;8403E80300000000
02:15:03,253;44;8403970A02000000
02:15:03,253;40;8403970A02000000
02:15:03,263;40;8403020B02000000
02:15:03,273;40;8403610B02000000
02:12:15:03,283;40;8403C90B02000000
02:15:03,293;40;8403150C02000000
02:15:03,303;40;8403650C02000000
02:15:03,313;40;8403B90C02000000
02:15:03,323;40;8403E50C02000000
