# HRMSv2/CAN LOGGER made by brzanad
# TIMESTAMP - human readable format
# ID - HEX format
# DATA - HEX format
# HH:MM:SS,KKK;ID;DATADATADATADATA
02:15:03,248;40;DC05000000000000
02:15:03,248;40;8403700300000000
02:15:03,248;40;8403740300000000
02:15:03,248;40;8403720300000000
02:15:03,248;40;84036F0300000000
02:15:03,248;40;8403850300000000
02:15:03,248;40;8403C30300000000
02:15:03,248;40;8403E80300000000
02:15:03,253;40;8403970A02000000
02:15:03,263;40;8403020B02000000
02:15:03,273;40;8403610B02000000
02:12:15:03,283;40;8403C90B02000000
02:15:03,293;40;8403150C02000000
02:15:03,303;40;8403650C02000000
02:15:03,313;40;8403B90C02000000
02:15:03,323;40;8403E50C02000000
02:15:03,334;40;8403020D02000000
02:15:03,343;40;8403FA0C02000000
02:15:03,353;40;8403FE0C02000000
02:15:03,363;40;8403FE0C02000000
02:15:03,373;40;8403FC0C02000000
02:15:03,383;40;8403F20C02000000
02:15:03,393;40;8403F30C02000000
02:15:03,403;40;8403F90C02000000
02:15:03,413;40;8403110D02000000
02:15:03,423;40;84030F0D02000000
02:15:03,433;40;8403FE0C02000000
02:15:03,443;40;8403EE0C02000000
02:15:03,453;40;8403F20C02000000
02:15:03,463;40;8403FB0C02000000
02:15:03,473;40;8403090D02000000
02:15:03,483;40;84030F0D02000000
02:15:03,493;40;8403020D02000000
02:15:03,503;40;8403F70C02000000
02:15:03,513;40;8403F20C02000000
02:15:03,523;40;84030B0D02000000
02:15:03,533;40;84030F0D02000000
02:15:03,543;40;8403020D02000000
02:15:03,553;40;8403F40C02000000
02:15:03,563;40;84030B0D02000000
02:15:03,573;40;8403F50C02000000
02:15:03,584;40;8403F70C02000000
02:15:03,593;40;8403060D02000000
02:15:03,603;40;8403EF0C02000000
02:15:03,613;40;8403030D02000000
02:15:03,623;40;8403F90C02000000
02:15:03,633;40;8403010D02000000
02:15:03,643;40;84030B0D02000000
02:15:03,653;40;8403FF0C02000000
02:15:03,663;40;8403F60C02000000
02:15:03,673;40;8403000D02000000
02:15:03,683;40;8403F70C02000000
02:15:03,693;40;8403ED0C02000000
02:15:03,703;40;8403F10C02000000
02:15:03,713;40;8403F90C02000000
02:15:03,723;40;8403010D02000000
02:15:03,733;40;8403FF0C02000000
02:15:03,743;40;8403090D02000000
02:15:03,753;40;8403000D02000000
02:15:03,763;40;8403F80C02000000
02:15:03,773;40;8403030D02000000
02:15:03,783;40;84030A0D02000000
02:15:03,793;40;8403FC0C02000000
02:15:03,803;40;8403020D02000000
02:15:03,813;40;8403100D02000000
02:15:03,823;40;84030A0D02000000
02:15:03,834;40;8403FF0C02000000
02:15:03,843;40;8403FF0C02000000
02:15:03,853;40;8403F20C02000000
02:15:03,863;40;8403060D02000000
02:15:03,873;40;8403F60C02000000
02:15:03,883;40;8403000D02000000
02:15:03,893;40;8403F80C02000000
02:15:03,903;40;8403FF0C02000000
02:15:03,913;40;8403FD0C02000000
02:15:03,923;40;8403FF0C02000000
02:15:03,933;40;8403FA0C02000000
02:15:03,943;40;8403030D02000000
02:15:03,953;40;8403020D02000000
02:15:03,963;40;8403FF0C02000000
02:15:03,973;40;8403F60C02000000
02:15:03,983;40;8403FD0C02000000
02:15:03,993;40;8403FD0C02000000
02:15:04,006;40;8403010D02000000
02:15:04,016;40;3408FD0C02000000
02:15:04,026;40;34082D0D02000000
02:15:04,036;40;3408240D02000000
02:15:04,045;40;3408D60C02000000
02:15:04,056;40;3408840C02000000
02:15:04,066;40;34082E0C02000000
02:15:04,076;40;3408D60B02000000
02:15:04,085;40;3408790B02000000
02:15:04,096;40;34081D0B02000000
02:15:04,106;40;3408BD0A02000000
02:15:04,113;40;34085D0A02000000
02:15:04,126;40;3408FD0902000000
02:15:04,136;40;3408A70902000000
02:15:04,146;40;3408480901000000
02:15:04,156;40;3408E60801000000
02:15:04,166;40;3408850801000000
02:15:04,176;40;34081E0801000000
02:15:04,186;40;3408B40701000000
02:15:04,196;40;3408520701000000
02:15:04,206;40;3408F20601000000
02:15:04,216;40;34088F0601000000
02:15:04,224;40;3408310601000000
02:15:04,233;40;3408C90501000000
02:15:04,243;40;34086B0501000000
02:15:04,253;40;34080D0501000000
02:15:04,263;40;3408A30400000000
02:15:04,273;40;34083B0400000000
02:15:04,283;40;3408DC0300000000
02:15:04,293;40;3408720300000000
02:15:04,303;40;3408180300000000
02:15:04,313;40;3408D50200000000
02:15:04,326;40;3408B30200000000
02:15:04,335;40;3408930200000000
02:15:04,346;40;34088C0200000000
02:15:04,356;40;3408860200000000
02:15:04,366;40;3408800000000
02:15:04,376;40;3408830200000000
02:15:04,386;40;3408860200000000
02:15:04,396;40;3408860200000000

02:15:04,406;40;3408840200000000
02:15:04,436;40;3408850200000000
02:15:04,436;40;3408800200000000
02:15:04,436;40;34087F0200000000
02:15:04,443;40;3408820200000000
02:15:04,453;40;3408870200000000
02:15:04,463;40;3408850200000000
02:15:04,473;40;3408830200000000
02:15:04,483;40;3408840200000000
02:15:04,493;40;3408840200000000
02:15:04,503;40;3408870200000000
02:15:04,513;40;3408830200000000
02:15:5:04,523;40;3408830200000000
02:15:04,536;40;3408840200000000
02:15:04,545;40;3408840200000000
02:15:04,556;40;3408880200000000
02:15:04,566;40;3408860200000000
02:15:04,576;40;3408870200000000
02:15:04,585;40;3408880200000000
02:15:04,596;40;3408860200000000
02:15:04,606;40;3408840200000000
02:15:04,616;40;3408850200000000
02:15:04,626;40;3408850200000000
02:15:04,636;40;3408860200000000
02:15:04,643;40;3408860200000000
02:15:04,653;40;3408850200000000
02:15:04,663;40;3408850200000000
02:15:04,673;40;3408840200000000
02:15:04,683;40;3408830200000000
02:15:04,693;40;3408810200000000
02:15:04,703;40;3408840200000000
02:15:04,713;40;3408880200000000
02:15:04,723;40;3408870200000000
02:15:04,733;40;3408840200000000
02:15:04,746;40;3408840200000000
02:15:04,756;40;3408840200000000
02:15:04,766;40;3408840200000000
02:15:04,776;40;3408880200000000
02:15:04,786;40;3408890200000000
02:15:04,795;40;3408870200000000
02:15:04,806;40;3408850200000000
02:15:04,816;40;3408880200000000
02:15:04,826;40;3408880200000000
02:15:04,835;40;3408830200000000
02:15:04,843;40;3408850200000000
02:15:04,853;40;3408840200000000
02:15:04,863;40;3408850200000000
02:15:04,873;40;3408820200000000
02:15:04,883;40;3408840200000000
02:15:04,893;40;3408850200000000
02:15:04,903;40;3408850200000000
02:15:04,913;40;3408840200000000
02:15:04,923;40;3408820200000000
02:15:04,933;40;3408860200000000
02:15:04,946;40;3408850200000000
02:15:04,956;40;3408860200000000
02:15:04,966;40;3408840200000000
02:15:04,976;40;3408870200000000
02:15:04,986;40;3408850200000000
02:15:04,996;40;3408860200000000
02:15:05,006;40;3408840200000000
02:15:05,016;40;8403830200000000
02:15:05,026;40;8403A00200000000
02:15:05,036;40;8403C90200000000
02:15:05,043;40;8403F10200000000
02:15:05,053;40;84032F0300000000
02:15:05,063;40;84037E0300000000
02:15:05,073;40;8403D80300000000
02:15:05,084;40;8403350400000000
02:15:05,093;40;8403980400000000
02:15:05,103;40;8403FE0401000000
02:15:05,113;40;8503670501000000
02:15:05,123;40;8503C30501000000
02:15:05,133;40;8503280601000000
02:15:05,146;40;8503850601000000
02:15:05,156;40;8503FB0601000000
02:15:05,166;40;8503510701000000
02:15:05,176;40;8503BE0701000000
02:15:05,186;40;8503270801000000
02:15:05,196;40;8503920801000000
02:15:05,206;40;8503F30801000000
02:15:05,216;40;8603570901000000
02:15:05,226;40;8603B90902000000
02:15:05,236;40;86031C0A02000000
02:15:05,243;40;86037D0A02000000
02:15:05,253;40;8603E40A02000000
02:15:05,263;40;8603440B02000000
02:15:05,273;40;8603A50B02000000
02:15:05,283;40;8603040C02000000
02:15:05,293;40;8603510C02000000
02:15:05,303;40;86039C0C02000000
02:15:05,313;40;8703D90C02000000
02:15:05,323;40;8703EE0C02000000
02:15:05,334;40;8703F10C02000000
02:15:05,345;40;8703010D02000000
02:15:05,356;40;8703FC0C02000000
02:15:05,366;40;8703FF0C02000000
02:15:05,376;40;8703FF0C02000000
02:15:05,386;40;8703FD0C02000000
02:15:05,396;40;8703FD0C02000000
02:15:05,406;40;8703FE0C02000000
02:15:05,416;40;8803020D02000000
02:15:05,426;40;8803FF0C02000000
02:15:05,436;40;8803000D02000000
02:15:05,443;40;8803FD0C02000000
02:15:05,453;40;8803FE0C02000000
02:15:05,463;40;8803010D02000000
02:15:05,473;40;8803FE0C02000000
02:15:05,483;40;8803010D02000000
02:15:05,493;40;8803FC0C02000000
02:15:05,503;40;8803FC0C02000000
02:15:05,513;40;8903FD0C02000000
02:15:05,523;40;8903FA0C02000000
02:15:05,533;40;8903000D02000000
02:15:05,545;40;8903FA0C02000000
02:15:05,556;40;8903000D02000000
02:15:05,566;40;8903000D02000000
02:15:05,576;40;8903FD0C02000000
02:15:05,585;40;8903FD0C02000000
02:15:05,596;40;8903FE0C02000000
02:15:05,606;40;8903000D000000
02:15:05,616;40;8A03FC0C02000000
02:15:05,626;40;8A03010D02000000

02:15:05,636;40;8A03000D02000000
02:15:05,664;40;8A03FC0C02000000
02:15:05,664;40;8A03FD0C02000000
02:15:05,664;40;8A03FB0C02000000
