# HRMSv2/CAN LOGGER made by brzanad
# TIMESTAMP - human readable format
# ID - HEX format
# DATA - HEX format
# HH:MM:SS,KKK;ID;DATADATADATADATA
18:29:15,889;20;000080FF396F1040
18:29:15,890;20;000080FF396F1040
18:29:15,890;20;000080FE396F1040
18:29:15,892;20;000080FE396F1040
18:29:15,899;20;000080FE396F1040
18:29:15,904;2C;FF0DE100FF0D0801
18:29:15,905;28;FF170D001D290200
18:29:15,906;29;FF130D10A3FE0100
18:29:15,907;20;000080FE396F1040
18:29:15,913;20;000080FE396F1040
18:29:15,918;0D;0000000000000000
18:28:29:15,920;20;000080FF396F1040
18:29:15,927;20;000080FE396F1040
18:29:15,933;20;000080FE396F1040
18:29:15,941;20;000080FE396F1040
18:29:15,947;20;000080FE396F1040
18:29:15,953;20;000080FE396F1040
18:29:15,959;20;000080FE396F1040
18:29:15,960;2D;1B00640AFF0D9200
18:29:15,960;2A;913FAD4165140200
18:29:15,961;2B;FD7B0D0060D00100
18:29:15,966;20;000080FE396F1040
18:29:15,967;0D;0000000000000000
18:29:15,972;20;000080FE396F1040
18:29:15,979;20;000080FF396F1040
18:29:15,986;20;000080FE396F1040
18:29:15,993;20;000080FE396F1040
18:29:16,000;20;000080FF396F1040
18:29:16,003;2C;FF0DDA00FF0D0D01
18:29:16,004;28;FF170D00DD250200
18:29:16,005;29;FF130D10E3010200
18:29:16,006;20;000080FE396F1040
18:29:16,012;20;000080FE396F1040
18:29:16,017;0D;0000000000000000
18:29:16,019;20;000080FE396F1040
18:29:16,026;20;000080FE396F1040
18:29:16,033;20;000080FE396F1040
18:29:16,039;20;000080FE396F1040
18:29:16,047;20;000080FE396F1040
18:29:16,053;20;000080FE396F1040
18:29:16,060;20;000080FF396F1040
18:29:16,061;2D;1B00640AFF0D8C00
18:29:16,063;2A;913FAD4125170200
18:29:16,064;2B;FD7B0D0060CF0100
18:29:16,068;20;000080FE396F1040
18:29:16,069;0D;0000000000000000
18:29:16,073;20;000080FF396F1040
18:29:16,074;14;00000000E60B2EC0
18:29:16,075;15;AEB9FB3F99CC32B7
18:29:16,079;20;000080FF396F1040
18:29:16,085;20;000080FE396F1040
18:29:16,092;20;000080FE396F1040
18:29:16,099;20;000080FF396F1040
18:29:16,104;2C;FF0DD800FF0D0E01
18:29:16,105;28;FF170D001D290200
18:29:16,106;29;FF130D10E3010200
18:29:16,107;20;000080FE396F1040
18:29:16,113;20;000080FF396F1040
18:29:16,116;17;E650744100000000
18:29:16,117;0D;0000000000000000
18:29:16,119;20;000080FF396F1040
18:29:16,126;20;000080FE396F1040
18:29:16,132;20;000080FE396F1040
18:29:16,139;20;000080FF396F1040
18:29:16,146;20;000080FE396F1040
18:29:16,153;20;000080FE396F1040
18:29:16,159;20;000080FF396F1040
18:29:16,160;2D;1B00640AFF0D8B00
18:29:16,161;2A;913FAD4125170200
18:29:16,162;2B;FD7B0D00E0CF0100
18:29:16,166;20;000080FF396F1040
18:29:16,167;0D;0000000000000000
18:29:16,173;20;000080FF396F1040
18:29:16,180;20;000080FF396F1040
18:29:16,188;20;000080FF396F1040
18:29:16,194;20;000080FE396F1040
18:29:16,199;20;000080FF396F1040
18:29:16,204;2C;FF0DD900FF0D0E01
18:29:16,205;28;FF170D001D290200
18:29:16,206;29;FF130D10A3010200
18:29:16,207;20;000080FF396F1040
18:29:16,212;20;000080FF396F1040
18:29:16,217;0D;0000000000000000
18:29:16,219;20;000080FF396F1040
18:29:16,232;20;000080FE396F1040
18:29:16,246;20;000080FE396F1040
18:29:16,252;20;000080FE396F1040
18:29:16,259;20;000080FF396F1040
18:29:16,260;2D;1B00640AFF0D8E00
18:29:16,261;2A;913FAD4125140200
18:29:16,262;2B;FD7B0D00A0CF0100
18:29:16,266;20;000080FE396F1040
18:29:16,267;0D;0000000000000000
18:29:16,272;20;000080FE396F1040
18:29:16,279;20;000080FF396F1040
18:29:16,286;20;000080FE396F1040
18:29:16,292;20;000080FF396F1040
18:29:16,299;20;000080FF396F1040
18:29:16,304;2C;FF0DDD00FF0D0E01
18:29:16,305;28;FF170D001D290200
18:29:16,306;29;FF130D10A3FE0100
18:29:16,307;20;000080FF396F1040
18:29:16,313;20;000080FF396F1040
18:29:16,318;0D;0000000000000000
18:29:16,320;20;000080FF396F1040
18:29:16,325;14;00000000E60B2EC0
18:29:16,326;15;ACB9FB3FBF56A4B6
18:29:16,326;20;000080FE396F1040
18:29:16,333;20;000080FE396F1040
18:29:16,346;20;000080FF396F1040
18:29:16,352;20;000080FF396F1040
18:29:16,360;2D;1B00640AFF0D8C00
18:29:16,361;2A;913FAD4165170200
18:29:16,362;2B;FD7B0D00E0CF0100
18:29:16,366;17;8099744100000000
18:29:16,367;20;000080FF396F1040
18:29:16,368;0D;0000000000000000
18:29:16,373;20;000080FF396F1040
18:29:16,379;20;000080FF396F1040
18:29:16,385;20;00008396F1040
18:29:16,392;20;000080FF396F1040
18:29:16,399;20;000080FF396F1040
18:29:16,404;2C;FF0DD500FF0D0C01

18:29:16,405;28;FF170D005D290200
18:29:16,417;29;FF130D10A3010200
18:29:16,417;20;000080FF396F1040
18:29:16,417;20;000080FF396F1040
18:29:16,417;0D;0000000000000000
18:29:16,419;20;000080FF396F1040
18:29:16,427;20;000080FF396F1040
18:29:16,433;20;000080FE396F1040
18:29:16,441;20;000080FF396F1040
18:29:16,448;20;000080FF396F1040
18:29:16,453;20;000080FF396F1040
18:29:16,459;20;000080FF396F1040
18:29:9:16,460;2D;1B00640AFF0D8E00
18:29:16,461;2A;913FAD4165170200
18:29:16,461;2B;FD7B0D0060CF0100
18:29:16,465;20;000080FF396F1040
18:29:16,467;0D;0000000000000000
18:29:16,472;20;000080FF396F1040
18:29:16,479;20;000080FF396F1040
18:29:16,486;20;000080FF396F1040
18:29:16,493;20;000080FF396F1040
18:29:16,500;20;000080FF396F1040
18:29:16,503;2C;FF0DD800FF0D0801
18:29:16,504;28;FF170D001D290200
18:29:16,505;29;FF130D10E3010200
18:29:16,506;20;000080FF396F1040
18:29:16,512;20;000080FF396F1040
18:29:16,517;0D;0000000000000000
18:29:16,519;20;000080FF396F1040
18:29:16,526;20;000080FF396F1040
18:29:16,533;20;000080FF396F1040
18:29:16,540;20;000080FF396F1040
18:29:16,545;20;000080FF396F1040
18:29:16,553;20;000080FF396F1040
18:29:16,559;01;0002000001010081
18:29:16,560;20;000080FF396F1040
18:29:16,561;2D;1B00640AFF0D8D00
18:29:16,563;2A;913FAD41E5130200
18:29:16,564;2B;FD7B0D00A0CF0100
18:29:16,568;20;000080FE396F1040
18:29:16,569;0D;0000000000000000
18:29:16,574;20;000080FE396F1040
18:29:16,575;14;00000000E60B2EC0
18:29:16,576;15;ACB9FB3FC66A04B5
18:29:16,579;20;000080FF396F1040
18:29:16,585;20;000080FE396F1040
18:29:16,592;20;000080FE396F1040
18:29:16,599;20;000080FE396F1040
18:29:16,604;2C;FF0DD800FF0D0C01
18:29:16,605;28;FF130D001D290200
18:29:16,606;29;FF130D10A3010200
18:29:16,607;20;000080FE396F1040
18:29:16,615;17;CCBD744100000000
18:29:16,617;0D;0000000000000000
18:29:16,619;20;000080FF396F1040
18:29:16,626;20;000080FE396F1040
18:29:16,632;20;000080FE396F1040
18:29:16,646;20;000080FE396F1040
18:29:16,653;20;000080FE396F1040
18:29:16,659;20;000080FE396F1040
18:29:16,660;2B;FD7F0D00E0CF0100
18:29:16,661;2A;913FAD4125170200
18:29:16,662;2D;1B00640AFF0D8B00
18:29:16,666;20;000080FE396F1040
18:29:16,667;0D;0000000000000000
18:29:16,672;20;000080FE396F1040
18:29:16,680;20;000080FE396F1040
18:29:16,688;20;000080FE396F1040
18:29:16,694;20;000080FE396F1040
18:29:16,701;20;000080FF396F1040
18:29:16,705;2C;FF0DD600FF0D0C01
18:29:16,706;28;FF170D005D250200
18:29:16,706;29;FF130D1063000200
18:29:16,707;20;000080FE396F1040
18:29:16,712;20;000080FF396F1040
18:29:16,717;0D;0000000000000000
18:29:16,719;20;000080FF396F1040
18:29:16,726;20;000080FE396F1040
18:29:16,733;20;000080FE396F1040
18:29:16,739;20;000080FF396F1040
18:29:16,746;20;000080FF396F1040
18:29:16,752;20;000080FF396F1040
18:29:16,759;20;000080FF396F1040
18:29:16,760;2B;FD7F0D0060CF0100
18:29:16,761;2A;913FAD4125170200
18:29:16,762;2D;1B00640AFF0D8D00
18:29:16,766;20;000080FF396F1040
18:29:16,767;0D;0000000000000000
18:29:16,772;20;000080FE396F1040
18:29:16,779;20;000080FF396F1040
18:29:16,786;20;000080FE396F1040
18:29:16,792;20;000080FE396F1040
18:29:16,805;2C;FF0DD700FF0D0E01
18:29:16,806;28;FF170D005D290200
18:29:16,807;29;FF130D10E3010200
18:29:16,808;20;000080FF396F1040
18:29:16,814;20;000080FF396F1040
18:29:16,819;0D;0000000000000000
18:29:16,821;20;000080FF396F1040
18:29:16,826;14;00000000E60B2EC0
18:29:16,827;15;ACB9FB3FDD311137
18:29:16,828;20;000080FE396F1040
18:29:16,833;20;000080FE396F1040
18:29:16,839;20;000080FF396F1040
18:29:16,846;20;000080FE396F1040
18:29:16,852;20;000080FF396F1040
18:29:16,859;20;000080FF396F1040
18:29:16,860;2B;FD7F0D00E0CF0100
18:29:16,861;2A;913FAD4125140200
18:29:16,862;2D;1B00640AFF0D9000
